Database,Workload,Record_counts,Operation_counts,Threads,Run_Time_ms,Throughput_ops/sec,Ave_Latency_Cleanup_us,Min_Latency_Cleanup_us,Max_Latency_Cleanup_us,Ave_Latency_Insert_us,Min_Latency_Insert_us,Max_Latency_Insert_us
MySQL,b,1000,2500,1,15191,66,1257,1257,1257,14618,8680,52191
MySQL,b,1000,5000,1,15453,65,1889,1889,1889,14858,10640,48479
MySQL,b,500,1000,1,7831,64,1403,1403,1403,14529,10408,48735
MySQL,b,2500,1000,1,38359,65,1378,1378,1378,15062,10192,66303
MySQL,b,5000,1000,1,78658,64,1986,1986,1986,15587,9040,82943
MySQL,b,1000,1000,2,10837,92,1000,275,1724,20373,11376,52191
MySQL,b,1000,1000,4,5824,172,657,271,1629,20715,12344,73727
MySQL,b,1000,1000,8,4192,239,561,224,1728,27605,12272,132607
MySQL,c,1000,1000,1,15520,64,1407,1407,1407,14956,9808,42303
MySQL,c,1000,500,1,15595,64,2547,2546,2547,14987,10408,59935
MySQL,c,1000,2500,1,15691,64,2097,2096,2097,15087,10496,83135
MySQL,c,1000,5000,1,15600,64,1590,1590,1590,15043,10096,59711
MySQL,c,500,1000,1,7922,63,1531,1531,1531,14688,10080,40671
MySQL,c,2500,1000,1,38777,64,1850,1850,1850,15258,10128,67327
MySQL,c,5000,1000,1,84264,59,2285,2284,2285,16705,9584,136447
MySQL,c,1000,1000,2,11355,88,1297,585,2010,21325,11848,104511
MySQL,c,1000,1000,4,6841,146,715,295,1630,24679,13120,74879
MySQL,c,1000,1000,8,3952,253,600,242,2311,25751,12568,84799
MySQL,d,1000,1000,1,15970,63,2002,2002,2002,15351,10496,47807
MySQL,d,1000,500,1,15476,65,1510,1510,1510,14883,10136,47039
MySQL,d,1000,2500,1,15565,64,1563,1563,1563,14980,10064,48255
MySQL,d,1000,5000,1,15637,64,1439,1439,1439,15002,10080,70271
MySQL,d,500,1000,1,7894,63,1456,1456,1456,14612,10640,81471
MySQL,d,2500,1000,1,41499,60,1791,1791,1791,16336,10304,385279
MySQL,d,5000,1000,1,86077,58,1253,1253,1253,17071,9928,90741
MySQL,d,1000,1000,2,11264,89,1135,251,2019,21372,11712,69567
MySQL,d,1000,1000,4,7059,142,1083,303,1844,25680,12960,132863
MySQL,d,1000,1000,8,3816,262,664,225,1841,24970,12224,110527
MySQL,e,1000,1000,1,15956,63,1832,1832,1832,15361,10448,55007
MySQL,e,1000,500,1,15804,63,1271,1271,1271,15220,9920,65087
MySQL,e,1000,2500,1,15617,64,1686,1686,1686,15016,9872,40703
MySQL,e,1000,5000,1,15656,64,1536,1536,1536,15044,10280,68479
MySQL,e,500,1000,1,7961,63,1535,1535,1535,14784,10416,45599
MySQL,e,2500,1000,1,40048,62,2341,2340,2341,15760,10432,56927
MySQL,e,5000,1000,1,86561,58,1826,1826,1826,17166,9968,346879
MySQL,e,1000,1000,2,10846,92,847,311,1383,20547,12360,61599
MySQL,e,1000,1000,4,6448,155,783,254,1970,23220,11936,61791
MySQL,e,1000,1000,8,3633,275,513,248,1515,22787,12488,91647
MySQL,f,1000,1000,1,16450,61,1336,1336,1336,15875,10656,59487
MySQL,f,1000,500,1,15430,65,1640,1640,1640,14838,10320,41631
MySQL,f,1000,2500,1,16560,60,1380,1380,1380,15916,10792,84863
MySQL,f,1000,5000,1,16157,62,2035,2035,2035,15577,10593,45471
MySQL,f,500,1000,1,8011,62,1472,1472,1472,14885,11056,43679
MySQL,f,2500,1000,1,39560,63,1588,1588,1588,15547,9408,61055
MySQL,f,5000,1000,1,88351,57,2021,2021,2021,17525,9320,76351
MySQL,f,1000,1000,2,11328,88,1004,283,1725,21500,12544,63871
MySQL,f,1000,1000,4,5983,167,500,264,1037,21331,9896,65215
MySQL,f,1000,1000,8,3790,264,1057,227,5167,24516,11872,69951
